geography,count,total,commutingType,id
E06000009,3481,59362,Passenger in a car or van,96
E06000009,1375,59362,Bicycle,97
E06000009,7004,59362,On foot,98
E06000009,868,59362,Other method of travel to work,99
E06000010,15534,117789,Work mainly at or from home,100
E06000010,41,117789,"Underground, metro, light rail, tram",101
E06000010,414,117789,Train,102
E06000010,8903,117789,"Bus, minibus or coach",103
E06000010,1497,117789,Taxi,104
E06000010,969,117789,"Motorcycle, scooter or moped",105
E06000010,61237,117789,Driving a car or van,106
E06000010,9104,117789,Passenger in a car or van,107
E06000010,8169,117789,Bicycle,108
E06000010,10676,117789,On foot,109
E06000010,1245,117789,Other method of travel to work,110
E06000011,38568,156121,Work mainly at or from home,111
E06000011,57,156121,"Underground, metro, light rail, tram",112
E06000011,782,156121,Train,113
E06000011,1936,156121,"Bus, minibus or coach",114
E06000011,388,156121,Taxi,115
E06000011,697,156121,"Motorcycle, scooter or moped",116
E06000011,89258,156121,Driving a car or van,117
E06000011,6390,156121,Passenger in a car or van,118
E06000011,4063,156121,Bicycle,119
E06000011,12269,156121,On foot,120
E06000011,1713,156121,Other method of travel to work,121
E06000012,9605,68850,Work mainly at or from home,122
E06000012,19,68850,"Underground, metro, light rail, tram",123
E06000012,157,68850,Train,124
E06000012,2272,68850,"Bus, minibus or coach",125
E06000012,567,68850,Taxi,126
E06000012,359,68850,"Motorcycle, scooter or moped",127
E06000012,41180,68850,Driving a car or van,128
E06000012,4040,68850,Passenger in a car or van,129
E06000012,3423,68850,Bicycle,130
E06000012,6360,68850,On foot,131
E06000012,868,68850,Other method of travel to work,132
E06000013,13277,76223,Work mainly at or from home,133
E06000013,21,76223,"Underground, metro, light rail, tram",134
E06000013,131,76223,Train,135
E06000013,1036,76223,"Bus, minibus or coach",136
E06000013,233,76223,Taxi,137
E06000013,378,76223,"Motorcycle, scooter or moped",138
E06000013,47177,76223,Driving a car or van,139
E06000013,4265,76223,Passenger in a car or van,140
E06000013,2307,76223,Bicycle,141
E06000013,6617,76223,On foot,142
E06000013,781,76223,Other method of travel to work,143
E06000014,34159,96196,Work mainly at or from home,144
E06000014,53,96196,"Underground, metro, light rail, tram",145
E06000014,593,96196,Train,146
E06000014,3194,96196,"Bus, minibus or coach",147
E06000014,384,96196,Taxi,148
E06000014,526,96196,"Motorcycle, scooter or moped",149
E06000014,35183,96196,Driving a car or van,150
E06000014,2826,96196,Passenger in a car or van,151
E06000014,7001,96196,Bicycle,152
E06000014,11480,96196,On foot,153
E06000014,797,96196,Other method of travel to work,154
E06000015,27260,116201,Work mainly at or from home,155
E06000015,83,116201,"Underground, metro, light rail, tram",156
E06000015,537,116201,Train,157
E06000015,5982,116201,"Bus, minibus or coach",158
E06000015,2065,116201,Taxi,159
E06000015,547,116201,"Motorcycle, scooter or moped",160
E06000015,57902,116201,Driving a car or van,161
E06000015,6705,116201,Passenger in a car or van,162
E06000015,2956,116201,Bicycle,163
E06000015,11079,116201,On foot,164
E06000015,1085,116201,Other method of travel to work,165
E06000016,29530,154934,Work mainly at or from home,166
E06000016,145,154934,"Underground, metro, light rail, tram",167
E06000016,755,154934,Train,168
E06000016,10782,154934,"Bus, minibus or coach",169
E06000016,2876,154934,Taxi,170
E06000016,469,154934,"Motorcycle, scooter or moped",171
E06000016,67246,154934,Driving a car or van,172
E06000016,13734,154934,Passenger in a car or van,173
E06000016,5470,154934,Bicycle,174
E06000016,21589,154934,On foot,175
E06000016,2338,154934,Other method of travel to work,176
E06000017,6404,18784,Work mainly at or from home,177
E06000017,8,18784,"Underground, metro, light rail, tram",178
E06000017,99,18784,Train,179
E06000017,70,18784,"Bus, minibus or coach",180
E06000017,35,18784,Taxi,181
E06000017,59,18784,"Motorcycle, scooter or moped",182
E06000017,9037,18784,Driving a car or van,183
E06000017,516,18784,Passenger in a car or van,184
E06000017,368,18784,Bicycle,185
E06000017,2004,18784,On foot,186
E06000017,184,18784,Other method of travel to work,187
E06000018,32915,128867,Work mainly at or from home,188
E06000018,2760,128867,"Underground, metro, light rail, tram",189
E06000018,810,128867,Train,190
E06000018,15217,128867,"Bus, minibus or coach",191
E06000018,1496,128867,Taxi,192
E06000018,553,128867,"Motorcycle, scooter or moped",193
E06000018,50069,128867,Driving a car or van,194
E06000018,5931,128867,Passenger in a car or van,195
E06000018,3565,128867,Bicycle,196
E06000018,13748,128867,On foot,197
E06000018,1803,128867,Other method of travel to work,198
E06000019,22618,88509,Work mainly at or from home,199
E06000019,31,88509,"Underground, metro, light rail, tram",200
E06000019,271,88509,Train,201
E06000019,555,88509,"Bus, minibus or coach",202
E06000019,248,88509,Taxi,203
E06000019,404,88509,"Motorcycle, scooter or moped",204
E06000019,47936,88509,Driving a car or van,205
E06000019,3640,88509,Passenger in a car or van,206
E06000019,2569,88509,Bicycle,207
E06000019,9391,88509,On foot,208
E06000019,846,88509,Other method of travel to work,209
E06000020,20430,85497,Work mainly at or from home,210
E06000020,41,85497,"Underground, metro, light rail, tram",211
E06000020,525,85497,Train,212
E06000020,1134,85497,"Bus, minibus or coach",213
E06000020,2347,85497,Taxi,214
E06000020,364,85497,"Motorcycle, scooter or moped",215
E06000020,48046,85497,Driving a car or van,216
E06000020,5392,85497,Passenger in a car or van,217
E06000020,1297,85497,Bicycle,218
E06000020,5159,85497,On foot,219
E06000020,762,85497,Other method of travel to work,220
E06000021,17161,112580,Work mainly at or from home,221
E06000021,33,112580,"Underground, metro, light rail, tram",222
E06000021,452,112580,Train,223
E06000021,3679,112580,"Bus, minibus or coach",224
E06000021,3933,112580,Taxi,225
E06000021,561,112580,"Motorcycle, scooter or moped",226
E06000021,65636,112580,Driving a car or van,227
E06000021,8760,112580,Passenger in a car or van,228
E06000021,1620,112580,Bicycle,229
E06000021,9618,112580,On foot,230
E06000021,1127,112580,Other method of travel to work,231
E06000022,34611,89815,Work mainly at or from home,232
E06000022,62,89815,"Underground, metro, light rail, tram",233
E06000022,629,89815,Train,234
E06000022,3063,89815,"Bus, minibus or coach",235
E06000022,235,89815,Taxi,236
E06000022,522,89815,"Motorcycle, scooter or moped",237
E06000022,35753,89815,Driving a car or van,238
E06000022,2637,89815,Passenger in a car or van,239
E06000022,1713,89815,Bicycle,240
E06000022,9848,89815,On foot,241
E06000022,742,89815,Other method of travel to work,242
E06000023,92026,238512,Work mainly at or from home,243
E06000023,115,238512,"Underground, metro, light rail, tram",244
E06000023,1650,238512,Train,245
E06000023,14617,238512,"Bus, minibus or coach",246
E06000023,999,238512,Taxi,247
E06000023,1545,238512,"Motorcycle, scooter or moped",248
E06000023,78915,238512,Driving a car or van,249
E06000023,7329,238512,Passenger in a car or van,250
E06000023,12466,238512,Bicycle,251
E06000023,26730,238512,On foot,252
E06000023,2120,238512,Other method of travel to work,253
E06000024,33466,102699,Work mainly at or from home,254
E06000024,30,102699,"Underground, metro, light rail, tram",255
E06000024,801,102699,Train,256
E06000024,1782,102699,"Bus, minibus or coach",257
E06000024,386,102699,Taxi,258
E06000024,509,102699,"Motorcycle, scooter or moped",259
E06000024,51958,102699,Driving a car or van,260
E06000024,3798,102699,Passenger in a car or van,261
E06000024,1951,102699,Bicycle,262
E06000024,7185,102699,On foot,263
E06000024,833,102699,Other method of travel to work,264
E06000025,52349,147610,Work mainly at or from home,265
E06000025,40,147610,"Underground, metro, light rail, tram",266
E06000025,438,147610,Train,267
E06000025,4442,147610,"Bus, minibus or coach",268
E06000025,276,147610,Taxi,269
E06000025,968,147610,"Motorcycle, scooter or moped",270
E06000025,71696,147610,Driving a car or van,271
E06000025,4890,147610,Passenger in a car or van,272
E06000025,3060,147610,Bicycle,273
E06000025,8371,147610,On foot,274
E06000025,1080,147610,Other method of travel to work,275
E06000026,25656,121017,Work mainly at or from home,276
E06000026,44,121017,"Underground, metro, light rail, tram",277
E06000026,371,121017,Train,278
E06000026,7672,121017,"Bus, minibus or coach",279
E06000026,1201,121017,Taxi,280
E06000026,1582,121017,"Motorcycle, scooter or moped",281
E06000026,61976,121017,Driving a car or van,282
E06000026,6220,121017,Passenger in a car or van,283
E06000026,2554,121017,Bicycle,284
E06000026,12221,121017,On foot,285
E06000026,1520,121017,Other method of travel to work,286
E06000027,12155,58935,Work mainly at or from home,287
E06000027,20,58935,"Underground, metro, light rail, tram",288
E06000027,340,58935,Train,289
E06000027,1971,58935,"Bus, minibus or coach",290
E06000027,379,58935,Taxi,291
E06000027,580,58935,"Motorcycle, scooter or moped",292
E06000027,31532,58935,Driving a car or van,293
E06000027,3068,58935,Passenger in a car or van,294
E06000027,702,58935,Bicycle,295
E06000027,7442,58935,On foot,296
E06000027,746,58935,Other method of travel to work,297
E06000030,36022,117866,Work mainly at or from home,298
E06000030,64,117866,"Underground, metro, light rail, tram",299
E06000030,514,117866,Train,300
E06000030,6612,117866,"Bus, minibus or coach",301
E06000030,830,117866,Taxi,302
E06000030,559,117866,"Motorcycle, scooter or moped",303
E06000030,55279,117866,Driving a car or van,304
E06000030,6049,117866,Passenger in a car or van,305
E06000030,3289,117866,Bicycle,306
E06000030,7517,117866,On foot,307
E06000030,1131,117866,Other method of travel to work,308
E06000031,24747,100968,Work mainly at or from home,309
E06000031,86,100968,"Underground, metro, light rail, tram",310
E06000031,975,100968,Train,311
E06000031,3644,100968,"Bus, minibus or coach",312
E06000031,2289,100968,Taxi,313
E06000031,421,100968,"Motorcycle, scooter or moped",314
E06000031,48971,100968,Driving a car or van,315
E06000031,7145,100968,Passenger in a car or van,316
E06000031,3823,100968,Bicycle,317
E06000031,7664,100968,On foot,318
E06000031,1203,100968,Other method of travel to work,319
E06000032,21199,98721,Work mainly at or from home,320
E06000032,334,98721,"Underground, metro, light rail, tram",321
E06000032,2509,98721,Train,322
E06000032,6718,98721,"Bus, minibus or coach",323
E06000032,1816,98721,Taxi,324
E06000032,264,98721,"Motorcycle, scooter or moped",325
E06000032,47641,98721,Driving a car or van,326
E06000032,6719,98721,Passenger in a car or van,327
E06000032,1103,98721,Bicycle,328
E06000032,8955,98721,On foot,329
E06000032,1463,98721,Other method of travel to work,330
E06000033,27823,83259,Work mainly at or from home,331
E06000033,242,83259,"Underground, metro, light rail, tram",332
E06000033,4523,83259,Train,333
E06000033,2601,83259,"Bus, minibus or coach",334
E06000033,390,83259,Taxi,335
E06000033,378,83259,"Motorcycle, scooter or moped",336
E06000033,33110,83259,Driving a car or van,337
E06000033,2865,83259,Passenger in a car or van,338
E06000033,1766,83259,Bicycle,339
E06000033,8570,83259,On foot,340
E06000033,991,83259,Other method of travel to work,341
E06000034,21081,85948,Work mainly at or from home,342
E06000034,1980,85948,"Underground, metro, light rail, tram",343
E06000034,6046,85948,Train,344
E06000034,2602,85948,"Bus, minibus or coach",345
E06000034,555,85948,Taxi,346
E06000034,530,85948,"Motorcycle, scooter or moped",347
E06000034,43245,85948,Driving a car or van,348
E06000034,3548,85948,Passenger in a car or van,349
E06000034,1016,85948,Bicycle,350
E06000034,4355,85948,On foot,351
E06000034,990,85948,Other method of travel to work,352
E06000035,34466,132606,Work mainly at or from home,353
E06000035,313,132606,"Underground, metro, light rail, tram",354
E06000035,5339,132606,Train,355
E06000035,3090,132606,"Bus, minibus or coach",356
E06000035,815,132606,Taxi,357
E06000035,807,132606,"Motorcycle, scooter or moped",358
E06000035,69504,132606,Driving a car or van,359
E06000035,6301,132606,Passenger in a car or van,360
E06000035,942,132606,Bicycle,361
E06000035,9519,132606,On foot,362
E06000035,1510,132606,Other method of travel to work,363
E06000036,26512,66396,Work mainly at or from home,364
E06000036,68,66396,"Underground, metro, light rail, tram",365
E06000036,976,66396,Train,366
E06000036,733,66396,"Bus, minibus or coach",367
E06000036,242,66396,Taxi,368
E06000036,287,66396,"Motorcycle, scooter or moped",369
E06000036,30194,66396,Driving a car or van,370
E06000036,2160,66396,Passenger in a car or van,371
E06000036,912,66396,Bicycle,372
E06000036,3755,66396,On foot,373
E06000036,557,66396,Other method of travel to work,374
E06000037,33988,82312,Work mainly at or from home,375
E06000037,65,82312,"Underground, metro, light rail, tram",376
E06000037,918,82312,Train,377
E06000037,1217,82312,"Bus, minibus or coach",378
E06000037,133,82312,Taxi,379
E06000037,292,82312,"Motorcycle, scooter or moped",380
E06000037,35715,82312,Driving a car or van,381
E06000037,2773,82312,Passenger in a car or van,382
E06000037,1250,82312,Bicycle,383
E06000037,5310,82312,On foot,384
E06000037,651,82312,Other method of travel to work,385
E06000038,34950,88866,Work mainly at or from home,386
E06000038,141,88866,"Underground, metro, light rail, tram",387
E06000038,2412,88866,Train,388
E06000038,6584,88866,"Bus, minibus or coach",389
E06000038,318,88866,Taxi,390
E06000038,349,88866,"Motorcycle, scooter or moped",391
E06000038,27914,88866,Driving a car or van,392
E06000038,2905,88866,Passenger in a car or van,393
E06000038,2361,88866,Bicycle,394
E06000038,10088,88866,On foot,395
E06000038,844,88866,Other method of travel to work,396
E06000039,19976,73699,Work mainly at or from home,397
E06000039,587,73699,"Underground, metro, light rail, tram",398
E06000039,2323,73699,Train,399
E06000039,3147,73699,"Bus, minibus or coach",400
E06000039,928,73699,Taxi,401
E06000039,330,73699,"Motorcycle, scooter or moped",402
E06000039,34407,73699,Driving a car or van,403
E06000039,3784,73699,Passenger in a car or van,404
E06000039,1529,73699,Bicycle,405
E06000039,5677,73699,On foot,406
E06000039,1011,73699,Other method of travel to work,407
E06000040,36565,76301,Work mainly at or from home,408
E06000040,206,76301,"Underground, metro, light rail, tram",409
E06000040,1862,76301,Train,410
E06000040,444,76301,"Bus, minibus or coach",411
E06000040,331,76301,Taxi,412
E06000040,247,76301,"Motorcycle, scooter or moped",413
E06000040,27949,76301,Driving a car or van,414
E06000040,1948,76301,Passenger in a car or van,415
E06000040,1006,76301,Bicycle,416
E06000040,4969,76301,On foot,417
E06000040,774,76301,Other method of travel to work,418
E06000041,45352,89467,Work mainly at or from home,419
E06000041,124,89467,"Underground, metro, light rail, tram",420
E06000041,1376,89467,Train,421
E06000041,1336,89467,"Bus, minibus or coach",422
E06000041,122,89467,Taxi,423
E06000041,264,89467,"Motorcycle, scooter or moped",424
E06000041,33381,89467,Driving a car or van,425
E06000041,2121,89467,Passenger in a car or van,426
E06000041,1157,89467,Bicycle,427
E06000041,3578,89467,On foot,428
E06000041,656,89467,Other method of travel to work,429
E06000042,52198,143379,Work mainly at or from home,430
E06000042,228,143379,"Underground, metro, light rail, tram",431
E06000042,1915,143379,Train,432
E06000042,4533,143379,"Bus, minibus or coach",433
E06000042,2856,143379,Taxi,434
E06000042,448,143379,"Motorcycle, scooter or moped",435
E06000042,62713,143379,Driving a car or van,436
E06000042,6985,143379,Passenger in a car or van,437
E06000042,2809,143379,Bicycle,438
E06000042,7288,143379,On foot,439
E06000042,1406,143379,Other method of travel to work,440
E06000043,59495,139290,Work mainly at or from home,441
E06000043,158,139290,"Underground, metro, light rail, tram",442
E06000043,3539,139290,Train,443
E06000043,9946,139290,"Bus, minibus or coach",444
E06000043,539,139290,Taxi,445
E06000043,931,139290,"Motorcycle, scooter or moped",446
E06000043,34893,139290,Driving a car or van,447
E06000043,3085,139290,Passenger in a car or van,448
E06000043,5282,139290,Bicycle,449
E06000043,19855,139290,On foot,450
E06000043,1567,139290,Other method of travel to work,451
E06000044,24315,97787,Work mainly at or from home,452
E06000044,63,97787,"Underground, metro, light rail, tram",453
E06000044,1894,97787,Train,454
E06000044,4968,97787,"Bus, minibus or coach",455
E06000044,1291,97787,Taxi,456
E06000044,807,97787,"Motorcycle, scooter or moped",457
E06000044,40707,97787,Driving a car or van,458
E06000044,4854,97787,Passenger in a car or van,459
E06000044,5128,97787,Bicycle,460
E06000044,12424,97787,On foot,461
E06000044,1336,97787,Other method of travel to work,462
E06000045,30282,118232,Work mainly at or from home,463
E06000045,84,118232,"Underground, metro, light rail, tram",464
E06000045,1430,118232,Train,465
E06000045,7835,118232,"Bus, minibus or coach",466
E06000045,861,118232,Taxi,467
E06000045,787,118232,"Motorcycle, scooter or moped",468
E06000045,51655,118232,Driving a car or van,469
E06000045,5945,118232,Passenger in a car or van,470
E06000045,3605,118232,Bicycle,471
E06000045,14255,118232,On foot,472
E06000045,1493,118232,Other method of travel to work,473
E06000046,12922,57910,Work mainly at or from home,474
E06000046,39,57910,"Underground, metro, light rail, tram",475
E06000046,252,57910,Train,476
E06000046,2291,57910,"Bus, minibus or coach",477
E06000046,83,57910,Taxi,478
E06000046,621,57910,"Motorcycle, scooter or moped",479
E06000046,29704,57910,Driving a car or van,480
E06000046,2100,57910,Passenger in a car or van,481
E06000046,1275,57910,Bicycle,482
E06000046,7404,57910,On foot,483
E06000046,1219,57910,Other method of travel to work,484
E06000047,53014,222220,Work mainly at or from home,485
E06000047,98,222220,"Underground, metro, light rail, tram",486
E06000047,730,222220,Train,487
E06000047,7478,222220,"Bus, minibus or coach",488
E06000047,1414,222220,Taxi,489
E06000047,585,222220,"Motorcycle, scooter or moped",490
E06000047,127527,222220,Driving a car or van,491
E06000047,11802,222220,Passenger in a car or van,492
E06000047,1607,222220,Bicycle,493
E06000047,15713,222220,On foot,494
E06000047,2252,222220,Other method of travel to work,495
E06000049,67827,192487,Work mainly at or from home,496
E06000049,98,192487,"Underground, metro, light rail, tram",497
E06000049,1630,192487,Train,498
E06000049,1328,192487,"Bus, minibus or coach",499
E06000049,931,192487,Taxi,500
E06000049,663,192487,"Motorcycle, scooter or moped",501
E06000049,93442,192487,Driving a car or van,502
E06000049,7454,192487,Passenger in a car or van,503
E06000049,3537,192487,Bicycle,504
E06000049,13950,192487,On foot,505
E06000049,1627,192487,Other method of travel to work,506
E06000050,53184,169087,Work mainly at or from home,507
E06000050,90,169087,"Underground, metro, light rail, tram",508
E06000050,1291,169087,Train,509
E06000050,2913,169087,"Bus, minibus or coach",510
E06000050,988,169087,Taxi,511
E06000050,669,169087,"Motorcycle, scooter or moped",512
E06000050,85824,169087,Driving a car or van,513
E06000050,6624,169087,Passenger in a car or van,514
E06000050,3399,169087,Bicycle,515
E06000050,12543,169087,On foot,516
E06000050,1562,169087,Other method of travel to work,517
E06000051,41525,152422,Work mainly at or from home,518
E06000051,35,152422,"Underground, metro, light rail, tram",519
E06000051,762,152422,Train,520
E06000051,1110,152422,"Bus, minibus or coach",521
E06000051,731,152422,Taxi,522
E06000051,428,152422,"Motorcycle, scooter or moped",523
E06000051,83469,152422,Driving a car or van,524
E06000051,6421,152422,Passenger in a car or van,525
E06000051,2926,152422,Bicycle,526
E06000051,13662,152422,On foot,527
E06000051,1353,152422,Other method of travel to work,528
E06000052,62832,254246,Work mainly at or from home,529
E06000052,80,254246,"Underground, metro, light rail, tram",530
E06000052,1275,254246,Train,531
E06000052,3410,254246,"Bus, minibus or coach",532
E06000052,686,254246,Taxi,533
E06000052,1925,254246,"Motorcycle, scooter or moped",534
E06000052,142649,254246,Driving a car or van,535
E06000052,10378,254246,Passenger in a car or van,536
E06000052,2988,254246,Bicycle,537
E06000052,25022,254246,On foot,538
E06000052,3001,254246,Other method of travel to work,539
E06000053,322,1115,Work mainly at or from home,540
E06000053,0,1115,"Underground, metro, light rail, tram",541
E06000053,1,1115,Train,542
E06000053,7,1115,"Bus, minibus or coach",543
E06000053,1,1115,Taxi,544
E06000053,9,1115,"Motorcycle, scooter or moped",545
E06000053,282,1115,Driving a car or van,546
E06000053,19,1115,Passenger in a car or van,547
E06000053,127,1115,Bicycle,548
E06000053,309,1115,On foot,549
E06000053,38,1115,Other method of travel to work,550
E06000054,85967,252341,Work mainly at or from home,551
E06000054,152,252341,"Underground, metro, light rail, tram",552
E06000054,1738,252341,Train,553
E06000054,3845,252341,"Bus, minibus or coach",554
E06000054,468,252341,Taxi,555
E06000054,1103,252341,"Motorcycle, scooter or moped",556
E06000054,122462,252341,Driving a car or van,557
E06000054,8743,252341,Passenger in a car or van,558
E06000054,4445,252341,Bicycle,559
E06000054,21174,252341,On foot,560
E06000054,2244,252341,Other method of travel to work,561
E06000055,28568,90865,Work mainly at or from home,562
E06000055,106,90865,"Underground, metro, light rail, tram",563
E06000055,1352,90865,Train,564
E06000055,1782,90865,"Bus, minibus or coach",565
E06000055,1102,90865,Taxi,566
E06000055,356,90865,"Motorcycle, scooter or moped",567
E06000055,42890,90865,Driving a car or van,568
E06000055,4403,90865,Passenger in a car or van,569
E06000055,2529,90865,Bicycle,570
E06000055,6935,90865,On foot,571
E06000055,842,90865,Other method of travel to work,572
E06000056,52153,151077,Work mainly at or from home,573
E06000056,205,151077,"Underground, metro, light rail, tram",574
E06000056,3042,151077,Train,575
E06000056,1560,151077,"Bus, minibus or coach",576
E06000056,373,151077,Taxi,577
E06000056,470,151077,"Motorcycle, scooter or moped",578
E06000056,76820,151077,Driving a car or van,579
E06000056,4976,151077,Passenger in a car or van,580
E06000056,1505,151077,Bicycle,581
E06000056,8754,151077,On foot,582
E06000056,1219,151077,Other method of travel to work,583
E06000057,38430,140777,Work mainly at or from home,584
E06000057,206,140777,"Underground, metro, light rail, tram",585
E06000057,610,140777,Train,586
E06000057,3995,140777,"Bus, minibus or coach",587
E06000057,586,140777,Taxi,588
E06000057,286,140777,"Motorcycle, scooter or moped",589
E06000057,76220,140777,Driving a car or van,590
E06000057,5930,140777,Passenger in a car or van,591
E06000057,1463,140777,Bicycle,592
E06000057,11346,140777,On foot,593
E06000057,1705,140777,Other method of travel to work,594
E06000058,55150,186032,Work mainly at or from home,595
E06000058,133,186032,"Underground, metro, light rail, tram",596
E06000058,1030,186032,Train,597
E06000058,8312,186032,"Bus, minibus or coach",598
E06000058,574,186032,Taxi,599
E06000058,1492,186032,"Motorcycle, scooter or moped",600
E06000058,89083,186032,Driving a car or van,601
E06000058,6898,186032,Passenger in a car or van,602
E06000058,5984,186032,Bicycle,603
E06000058,15391,186032,On foot,604
E06000058,1985,186032,Other method of travel to work,605
E06000059,47397,167777,Work mainly at or from home,606
E06000059,103,167777,"Underground, metro, light rail, tram",607
E06000059,731,167777,Train,608
E06000059,1888,167777,"Bus, minibus or coach",609
E06000059,373,167777,Taxi,610
E06000059,1009,167777,"Motorcycle, scooter or moped",611
E06000059,90473,167777,Driving a car or van,612
E06000059,5656,167777,Passenger in a car or van,613
E06000059,2973,167777,Bicycle,614
E06000059,15429,167777,On foot,615
E06000059,1745,167777,Other method of travel to work,616
E06000060,112181,273236,Work mainly at or from home,617
E06000060,1917,273236,"Underground, metro, light rail, tram",618
E06000060,4044,273236,Train,619
E06000060,3830,273236,"Bus, minibus or coach",620
E06000060,1635,273236,Taxi,621
E06000060,892,273236,"Motorcycle, scooter or moped",622
E06000060,119924,273236,Driving a car or van,623
E06000060,8242,273236,Passenger in a car or van,624
E06000060,2218,273236,Bicycle,625
E06000060,15888,273236,On foot,626
E06000060,2465,273236,Other method of travel to work,627
E06000061,42162,178855,Work mainly at or from home,628
E06000061,107,178855,"Underground, metro, light rail, tram",629
E06000061,921,178855,Train,630
E06000061,2469,178855,"Bus, minibus or coach",631
E06000061,1739,178855,Taxi,632
E06000061,604,178855,"Motorcycle, scooter or moped",633
E06000061,101925,178855,Driving a car or van,634
E06000061,10782,178855,Passenger in a car or van,635
E06000061,2905,178855,Bicycle,636
E06000061,13596,178855,On foot,637
E06000061,1645,178855,Other method of travel to work,638
E06000062,62832,215994,Work mainly at or from home,639
E06000062,151,215994,"Underground, metro, light rail, tram",640
E06000062,1249,215994,Train,641
E06000062,7640,215994,"Bus, minibus or coach",642
E06000062,1282,215994,Taxi,643
E06000062,722,215994,"Motorcycle, scooter or moped",644
E06000062,110576,215994,Driving a car or van,645
E06000062,11275,215994,Passenger in a car or van,646
E06000062,3308,215994,Bicycle,647
E06000062,14950,215994,On foot,648
E06000062,2009,215994,Other method of travel to work,649
E07000008,32113,70596,Work mainly at or from home,650
