geography,count,total,student,employment,employmentType,fullTime,id
E06000003,3525,112340,active (excluding full-time students),Unemployed,NA,NA,72
E06000003,1817,112340,active and a full-time student,NA,NA,NA,73
E06000003,1338,112340,active and a full-time student,In employment,NA,NA,74
E06000003,1281,112340,active and a full-time student,In employment,Employee,NA,75
E06000003,1044,112340,active and a full-time student,In employment,Employee,Part,76
E06000003,237,112340,active and a full-time student,In employment,Employee,Full,77
E06000003,1,112340,active and a full-time student,In employment,Self-employed with employees,NA,78
E06000003,0,112340,active and a full-time student,In employment,Self-employed with employees,Part,79
E06000003,1,112340,active and a full-time student,In employment,Self-employed with employees,Full,80
E06000003,56,112340,active and a full-time student,In employment,Self-employed without employees,NA,81
E06000003,39,112340,active and a full-time student,In employment,Self-employed without employees,Part,82
E06000003,17,112340,active and a full-time student,In employment,Self-employed without employees,Full,83
E06000003,479,112340,active and a full-time student,Unemployed,NA,NA,84
E06000003,52716,112340,inactive,NA,NA,NA,85
E06000003,32033,112340,inactive,Retired,NA,NA,86
E06000003,4444,112340,inactive,Student,NA,NA,87
E06000003,5597,112340,inactive,Looking after home or family,NA,NA,88
E06000003,7268,112340,inactive,Long-term sick or disabled,NA,NA,89
E06000003,3374,112340,inactive,Other,NA,NA,90
E06000004,89315,158008,active (excluding full-time students),NA,NA,NA,91
E06000004,84174,158008,active (excluding full-time students),In employment,NA,NA,92
E06000004,73699,158008,active (excluding full-time students),In employment,Employee,NA,93
E06000004,19945,158008,active (excluding full-time students),In employment,Employee,Part,94
E06000004,53754,158008,active (excluding full-time students),In employment,Employee,Full,95
E06000004,1994,158008,active (excluding full-time students),In employment,Self-employed with employees,NA,96
E06000004,462,158008,active (excluding full-time students),In employment,Self-employed with employees,Part,97
E06000004,1532,158008,active (excluding full-time students),In employment,Self-employed with employees,Full,98
E06000004,8481,158008,active (excluding full-time students),In employment,Self-employed without employees,NA,99
E06000004,3448,158008,active (excluding full-time students),In employment,Self-employed without employees,Part,100
E06000004,5033,158008,active (excluding full-time students),In employment,Self-employed without employees,Full,101
E06000004,5141,158008,active (excluding full-time students),Unemployed,NA,NA,102
E06000004,3027,158008,active and a full-time student,NA,NA,NA,103
E06000004,2268,158008,active and a full-time student,In employment,NA,NA,104
E06000004,2188,158008,active and a full-time student,In employment,Employee,NA,105
E06000004,1773,158008,active and a full-time student,In employment,Employee,Part,106
E06000004,415,158008,active and a full-time student,In employment,Employee,Full,107
E06000004,11,158008,active and a full-time student,In employment,Self-employed with employees,NA,108
E06000004,5,158008,active and a full-time student,In employment,Self-employed with employees,Part,109
E06000004,6,158008,active and a full-time student,In employment,Self-employed with employees,Full,110
E06000004,69,158008,active and a full-time student,In employment,Self-employed without employees,NA,111
E06000004,51,158008,active and a full-time student,In employment,Self-employed without employees,Part,112
E06000004,18,158008,active and a full-time student,In employment,Self-employed without employees,Full,113
E06000004,759,158008,active and a full-time student,Unemployed,NA,NA,114
E06000004,65666,158008,inactive,NA,NA,NA,115
E06000004,37038,158008,inactive,Retired,NA,NA,116
E06000004,6878,158008,inactive,Student,NA,NA,117
E06000004,7670,158008,inactive,Looking after home or family,NA,NA,118
E06000004,8208,158008,inactive,Long-term sick or disabled,NA,NA,119
E06000004,5872,158008,inactive,Other,NA,NA,120
E06000005,50768,88103,active (excluding full-time students),NA,NA,NA,121
E06000005,48103,88103,active (excluding full-time students),In employment,NA,NA,122
E06000005,42072,88103,active (excluding full-time students),In employment,Employee,NA,123
E06000005,10748,88103,active (excluding full-time students),In employment,Employee,Part,124
E06000005,31324,88103,active (excluding full-time students),In employment,Employee,Full,125
E06000005,1150,88103,active (excluding full-time students),In employment,Self-employed with employees,NA,126
E06000005,258,88103,active (excluding full-time students),In employment,Self-employed with employees,Part,127
E06000005,892,88103,active (excluding full-time students),In employment,Self-employed with employees,Full,128
E06000005,4881,88103,active (excluding full-time students),In employment,Self-employed without employees,NA,129
E06000005,2028,88103,active (excluding full-time students),In employment,Self-employed without employees,Part,130
E06000005,2853,88103,active (excluding full-time students),In employment,Self-employed without employees,Full,131
E06000005,2665,88103,active (excluding full-time students),Unemployed,NA,NA,132
E06000005,1561,88103,active and a full-time student,NA,NA,NA,133
E06000005,1193,88103,active and a full-time student,In employment,NA,NA,134
E06000005,1150,88103,active and a full-time student,In employment,Employee,NA,135
E06000005,947,88103,active and a full-time student,In employment,Employee,Part,136
E06000005,203,88103,active and a full-time student,In employment,Employee,Full,137
E06000005,11,88103,active and a full-time student,In employment,Self-employed with employees,NA,138
E06000005,6,88103,active and a full-time student,In employment,Self-employed with employees,Part,139
E06000005,5,88103,active and a full-time student,In employment,Self-employed with employees,Full,140
E06000005,32,88103,active and a full-time student,In employment,Self-employed without employees,NA,141
E06000005,22,88103,active and a full-time student,In employment,Self-employed without employees,Part,142
E06000005,10,88103,active and a full-time student,In employment,Self-employed without employees,Full,143
E06000005,368,88103,active and a full-time student,Unemployed,NA,NA,144
E06000005,35774,88103,inactive,NA,NA,NA,145
E06000005,21930,88103,inactive,Retired,NA,NA,146
E06000005,3229,88103,inactive,Student,NA,NA,147
E06000005,3899,88103,inactive,Looking after home or family,NA,NA,148
E06000005,4179,88103,inactive,Long-term sick or disabled,NA,NA,149
E06000005,2537,88103,inactive,Other,NA,NA,150
E06000006,60121,103948,active (excluding full-time students),NA,NA,NA,151
E06000006,57286,103948,active (excluding full-time students),In employment,NA,NA,152
E06000006,50827,103948,active (excluding full-time students),In employment,Employee,NA,153
E06000006,12125,103948,active (excluding full-time students),In employment,Employee,Part,154
E06000006,38702,103948,active (excluding full-time students),In employment,Employee,Full,155
E06000006,1031,103948,active (excluding full-time students),In employment,Self-employed with employees,NA,156
E06000006,245,103948,active (excluding full-time students),In employment,Self-employed with employees,Part,157
E06000006,786,103948,active (excluding full-time students),In employment,Self-employed with employees,Full,158
E06000006,5428,103948,active (excluding full-time students),In employment,Self-employed without employees,NA,159
E06000006,2109,103948,active (excluding full-time students),In employment,Self-employed without employees,Part,160
E06000006,3319,103948,active (excluding full-time students),In employment,Self-employed without employees,Full,161
E06000006,2835,103948,active (excluding full-time students),Unemployed,NA,NA,162
E06000006,1926,103948,active and a full-time student,NA,NA,NA,163
E06000006,1420,103948,active and a full-time student,In employment,NA,NA,164
E06000006,1379,103948,active and a full-time student,In employment,Employee,NA,165
E06000006,1159,103948,active and a full-time student,In employment,Employee,Part,166
E06000006,220,103948,active and a full-time student,In employment,Employee,Full,167
E06000006,0,103948,active and a full-time student,In employment,Self-employed with employees,NA,168
E06000006,0,103948,active and a full-time student,In employment,Self-employed with employees,Part,169
E06000006,0,103948,active and a full-time student,In employment,Self-employed with employees,Full,170
E06000006,41,103948,active and a full-time student,In employment,Self-employed without employees,NA,171
E06000006,30,103948,active and a full-time student,In employment,Self-employed without employees,Part,172
E06000006,11,103948,active and a full-time student,In employment,Self-employed without employees,Full,173
E06000006,506,103948,active and a full-time student,Unemployed,NA,NA,174
E06000006,41901,103948,inactive,NA,NA,NA,175
E06000006,22958,103948,inactive,Retired,NA,NA,176
E06000006,3919,103948,inactive,Student,NA,NA,177
E06000006,4588,103948,inactive,Looking after home or family,NA,NA,178
E06000006,7043,103948,inactive,Long-term sick or disabled,NA,NA,179
E06000006,3393,103948,inactive,Other,NA,NA,180
E06000007,104700,172722,active (excluding full-time students),NA,NA,NA,181
E06000007,100663,172722,active (excluding full-time students),In employment,NA,NA,182
E06000007,87137,172722,active (excluding full-time students),In employment,Employee,NA,183
E06000007,20500,172722,active (excluding full-time students),In employment,Employee,Part,184
E06000007,66637,172722,active (excluding full-time students),In employment,Employee,Full,185
E06000007,2216,172722,active (excluding full-time students),In employment,Self-employed with employees,NA,186
E06000007,503,172722,active (excluding full-time students),In employment,Self-employed with employees,Part,187
E06000007,1713,172722,active (excluding full-time students),In employment,Self-employed with employees,Full,188
E06000007,11310,172722,active (excluding full-time students),In employment,Self-employed without employees,NA,189
E06000007,4878,172722,active (excluding full-time students),In employment,Self-employed without employees,Part,190
E06000007,6432,172722,active (excluding full-time students),In employment,Self-employed without employees,Full,191
E06000007,4037,172722,active (excluding full-time students),Unemployed,NA,NA,192
E06000007,3275,172722,active and a full-time student,NA,NA,NA,193
E06000007,2532,172722,active and a full-time student,In employment,NA,NA,194
E06000007,2441,172722,active and a full-time student,In employment,Employee,NA,195
E06000007,2037,172722,active and a full-time student,In employment,Employee,Part,196
E06000007,404,172722,active and a full-time student,In employment,Employee,Full,197
E06000007,7,172722,active and a full-time student,In employment,Self-employed with employees,NA,198
E06000007,3,172722,active and a full-time student,In employment,Self-employed with employees,Part,199
E06000007,4,172722,active and a full-time student,In employment,Self-employed with employees,Full,200
E06000007,84,172722,active and a full-time student,In employment,Self-employed without employees,NA,201
E06000007,67,172722,active and a full-time student,In employment,Self-employed without employees,Part,202
E06000007,17,172722,active and a full-time student,In employment,Self-employed without employees,Full,203
E06000007,743,172722,active and a full-time student,Unemployed,NA,NA,204
E06000007,64747,172722,inactive,NA,NA,NA,205
E06000007,39954,172722,inactive,Retired,NA,NA,206
E06000007,6261,172722,inactive,Student,NA,NA,207
E06000007,6215,172722,inactive,Looking after home or family,NA,NA,208
E06000007,7098,172722,inactive,Long-term sick or disabled,NA,NA,209
E06000007,5219,172722,inactive,Other,NA,NA,210
E06000008,65345,119509,active (excluding full-time students),NA,NA,NA,211
E06000008,61516,119509,active (excluding full-time students),In employment,NA,NA,212
E06000008,52826,119509,active (excluding full-time students),In employment,Employee,NA,213
E06000008,15242,119509,active (excluding full-time students),In employment,Employee,Part,214
E06000008,37584,119509,active (excluding full-time students),In employment,Employee,Full,215
E06000008,1694,119509,active (excluding full-time students),In employment,Self-employed with employees,NA,216
E06000008,537,119509,active (excluding full-time students),In employment,Self-employed with employees,Part,217
E06000008,1157,119509,active (excluding full-time students),In employment,Self-employed with employees,Full,218
E06000008,6996,119509,active (excluding full-time students),In employment,Self-employed without employees,NA,219
E06000008,3182,119509,active (excluding full-time students),In employment,Self-employed without employees,Part,220
E06000008,3814,119509,active (excluding full-time students),In employment,Self-employed without employees,Full,221
E06000008,3829,119509,active (excluding full-time students),Unemployed,NA,NA,222
E06000008,2766,119509,active and a full-time student,NA,NA,NA,223
E06000008,2042,119509,active and a full-time student,In employment,NA,NA,224
E06000008,1932,119509,active and a full-time student,In employment,Employee,NA,225
E06000008,1525,119509,active and a full-time student,In employment,Employee,Part,226
E06000008,407,119509,active and a full-time student,In employment,Employee,Full,227
E06000008,17,119509,active and a full-time student,In employment,Self-employed with employees,NA,228
E06000008,10,119509,active and a full-time student,In employment,Self-employed with employees,Part,229
E06000008,7,119509,active and a full-time student,In employment,Self-employed with employees,Full,230
E06000008,93,119509,active and a full-time student,In employment,Self-employed without employees,NA,231
E06000008,79,119509,active and a full-time student,In employment,Self-employed without employees,Part,232
E06000008,14,119509,active and a full-time student,In employment,Self-employed without employees,Full,233
E06000008,724,119509,active and a full-time student,Unemployed,NA,NA,234
E06000008,51398,119509,inactive,NA,NA,NA,235
E06000008,21250,119509,inactive,Retired,NA,NA,236
E06000008,7777,119509,inactive,Student,NA,NA,237
E06000008,9594,119509,inactive,Looking after home or family,NA,NA,238
E06000008,7832,119509,inactive,Long-term sick or disabled,NA,NA,239
E06000008,4945,119509,inactive,Other,NA,NA,240
E06000009,61973,116338,active (excluding full-time students),NA,NA,NA,241
E06000009,57545,116338,active (excluding full-time students),In employment,NA,NA,242
E06000009,48004,116338,active (excluding full-time students),In employment,Employee,NA,243
E06000009,14349,116338,active (excluding full-time students),In employment,Employee,Part,244
E06000009,33655,116338,active (excluding full-time students),In employment,Employee,Full,245
E06000009,1303,116338,active (excluding full-time students),In employment,Self-employed with employees,NA,246
E06000009,360,116338,active (excluding full-time students),In employment,Self-employed with employees,Part,247
E06000009,943,116338,active (excluding full-time students),In employment,Self-employed with employees,Full,248
E06000009,8238,116338,active (excluding full-time students),In employment,Self-employed without employees,NA,249
E06000009,3546,116338,active (excluding full-time students),In employment,Self-employed without employees,Part,250
E06000009,4692,116338,active (excluding full-time students),In employment,Self-employed without employees,Full,251
E06000009,4428,116338,active (excluding full-time students),Unemployed,NA,NA,252
E06000009,2378,116338,active and a full-time student,NA,NA,NA,253
E06000009,1816,116338,active and a full-time student,In employment,NA,NA,254
E06000009,1732,116338,active and a full-time student,In employment,Employee,NA,255
E06000009,1333,116338,active and a full-time student,In employment,Employee,Part,256
E06000009,399,116338,active and a full-time student,In employment,Employee,Full,257
E06000009,14,116338,active and a full-time student,In employment,Self-employed with employees,NA,258
E06000009,9,116338,active and a full-time student,In employment,Self-employed with employees,Part,259
E06000009,5,116338,active and a full-time student,In employment,Self-employed with employees,Full,260
E06000009,70,116338,active and a full-time student,In employment,Self-employed without employees,NA,261
E06000009,47,116338,active and a full-time student,In employment,Self-employed without employees,Part,262
E06000009,23,116338,active and a full-time student,In employment,Self-employed without employees,Full,263
E06000009,562,116338,active and a full-time student,Unemployed,NA,NA,264
E06000009,51987,116338,inactive,NA,NA,NA,265
E06000009,27743,116338,inactive,Retired,NA,NA,266
E06000009,4151,116338,inactive,Student,NA,NA,267
E06000009,5897,116338,inactive,Looking after home or family,NA,NA,268
E06000009,9507,116338,inactive,Long-term sick or disabled,NA,NA,269
E06000009,4689,116338,inactive,Other,NA,NA,270
E06000010,122835,213875,active (excluding full-time students),NA,NA,NA,271
E06000010,114053,213875,active (excluding full-time students),In employment,NA,NA,272
E06000010,102111,213875,active (excluding full-time students),In employment,Employee,NA,273
E06000010,27351,213875,active (excluding full-time students),In employment,Employee,Part,274
E06000010,74760,213875,active (excluding full-time students),In employment,Employee,Full,275
E06000010,1968,213875,active (excluding full-time students),In employment,Self-employed with employees,NA,276
E06000010,501,213875,active (excluding full-time students),In employment,Self-employed with employees,Part,277
E06000010,1467,213875,active (excluding full-time students),In employment,Self-employed with employees,Full,278
E06000010,9974,213875,active (excluding full-time students),In employment,Self-employed without employees,NA,279
E06000010,3947,213875,active (excluding full-time students),In employment,Self-employed without employees,Part,280
E06000010,6027,213875,active (excluding full-time students),In employment,Self-employed without employees,Full,281
E06000010,8782,213875,active (excluding full-time students),Unemployed,NA,NA,282
E06000010,5320,213875,active and a full-time student,NA,NA,NA,283
E06000010,3735,213875,active and a full-time student,In employment,NA,NA,284
E06000010,3534,213875,active and a full-time student,In employment,Employee,NA,285
E06000010,2742,213875,active and a full-time student,In employment,Employee,Part,286
E06000010,792,213875,active and a full-time student,In employment,Employee,Full,287
E06000010,32,213875,active and a full-time student,In employment,Self-employed with employees,NA,288
E06000010,24,213875,active and a full-time student,In employment,Self-employed with employees,Part,289
E06000010,8,213875,active and a full-time student,In employment,Self-employed with employees,Full,290
E06000010,169,213875,active and a full-time student,In employment,Self-employed without employees,NA,291
E06000010,127,213875,active and a full-time student,In employment,Self-employed without employees,Part,292
E06000010,42,213875,active and a full-time student,In employment,Self-employed without employees,Full,293
E06000010,1585,213875,active and a full-time student,Unemployed,NA,NA,294
E06000010,85720,213875,inactive,NA,NA,NA,295
E06000010,38511,213875,inactive,Retired,NA,NA,296
E06000010,12766,213875,inactive,Student,NA,NA,297
E06000010,12530,213875,inactive,Looking after home or family,NA,NA,298
E06000010,13717,213875,inactive,Long-term sick or disabled,NA,NA,299
E06000010,8196,213875,inactive,Other,NA,NA,300
E06000011,158311,288142,active (excluding full-time students),NA,NA,NA,301
E06000011,152548,288142,active (excluding full-time students),In employment,NA,NA,302
E06000011,126999,288142,active (excluding full-time students),In employment,Employee,NA,303
E06000011,35445,288142,active (excluding full-time students),In employment,Employee,Part,304
E06000011,91554,288142,active (excluding full-time students),In employment,Employee,Full,305
E06000011,5212,288142,active (excluding full-time students),In employment,Self-employed with employees,NA,306
E06000011,1138,288142,active (excluding full-time students),In employment,Self-employed with employees,Part,307
E06000011,4074,288142,active (excluding full-time students),In employment,Self-employed with employees,Full,308
E06000011,20337,288142,active (excluding full-time students),In employment,Self-employed without employees,NA,309
E06000011,8600,288142,active (excluding full-time students),In employment,Self-employed without employees,Part,310
E06000011,11737,288142,active (excluding full-time students),In employment,Self-employed without employees,Full,311
E06000011,5763,288142,active (excluding full-time students),Unemployed,NA,NA,312
E06000011,4487,288142,active and a full-time student,NA,NA,NA,313
E06000011,3572,288142,active and a full-time student,In employment,NA,NA,314
E06000011,3421,288142,active and a full-time student,In employment,Employee,NA,315
E06000011,2837,288142,active and a full-time student,In employment,Employee,Part,316
E06000011,584,288142,active and a full-time student,In employment,Employee,Full,317
E06000011,9,288142,active and a full-time student,In employment,Self-employed with employees,NA,318
E06000011,4,288142,active and a full-time student,In employment,Self-employed with employees,Part,319
E06000011,5,288142,active and a full-time student,In employment,Self-employed with employees,Full,320
E06000011,142,288142,active and a full-time student,In employment,Self-employed without employees,NA,321
E06000011,103,288142,active and a full-time student,In employment,Self-employed without employees,Part,322
E06000011,39,288142,active and a full-time student,In employment,Self-employed without employees,Full,323
E06000011,915,288142,active and a full-time student,Unemployed,NA,NA,324
E06000011,125344,288142,inactive,NA,NA,NA,325
E06000011,89466,288142,inactive,Retired,NA,NA,326
E06000011,9201,288142,inactive,Student,NA,NA,327
E06000011,9848,288142,inactive,Looking after home or family,NA,NA,328
E06000011,9779,288142,inactive,Long-term sick or disabled,NA,NA,329
E06000011,7050,288142,inactive,Other,NA,NA,330
E06000012,70673,127521,active (excluding full-time students),NA,NA,NA,331
E06000012,67112,127521,active (excluding full-time students),In employment,NA,NA,332
E06000012,58959,127521,active (excluding full-time students),In employment,Employee,NA,333
E06000012,17264,127521,active (excluding full-time students),In employment,Employee,Part,334
E06000012,41695,127521,active (excluding full-time students),In employment,Employee,Full,335
E06000012,1487,127521,active (excluding full-time students),In employment,Self-employed with employees,NA,336
E06000012,335,127521,active (excluding full-time students),In employment,Self-employed with employees,Part,337
E06000012,1152,127521,active (excluding full-time students),In employment,Self-employed with employees,Full,338
E06000012,6666,127521,active (excluding full-time students),In employment,Self-employed without employees,NA,339
E06000012,2835,127521,active (excluding full-time students),In employment,Self-employed without employees,Part,340
E06000012,3831,127521,active (excluding full-time students),In employment,Self-employed without employees,Full,341
E06000012,3561,127521,active (excluding full-time students),Unemployed,NA,NA,342
E06000012,2368,127521,active and a full-time student,NA,NA,NA,343
E06000012,1738,127521,active and a full-time student,In employment,NA,NA,344
E06000012,1671,127521,active and a full-time student,In employment,Employee,NA,345
E06000012,1345,127521,active and a full-time student,In employment,Employee,Part,346
E06000012,326,127521,active and a full-time student,In employment,Employee,Full,347
E06000012,5,127521,active and a full-time student,In employment,Self-employed with employees,NA,348
E06000012,0,127521,active and a full-time student,In employment,Self-employed with employees,Part,349
E06000012,5,127521,active and a full-time student,In employment,Self-employed with employees,Full,350
E06000012,62,127521,active and a full-time student,In employment,Self-employed without employees,NA,351
E06000012,42,127521,active and a full-time student,In employment,Self-employed without employees,Part,352
E06000012,20,127521,active and a full-time student,In employment,Self-employed without employees,Full,353
E06000012,630,127521,active and a full-time student,Unemployed,NA,NA,354
E06000012,54480,127521,inactive,NA,NA,NA,355
E06000012,31788,127521,inactive,Retired,NA,NA,356
E06000012,4588,127521,inactive,Student,NA,NA,357
E06000012,6597,127521,inactive,Looking after home or family,NA,NA,358
E06000012,7468,127521,inactive,Long-term sick or disabled,NA,NA,359
E06000012,4039,127521,inactive,Other,NA,NA,360
E06000013,77987,139465,active (excluding full-time students),NA,NA,NA,361
E06000013,74356,139465,active (excluding full-time students),In employment,NA,NA,362
E06000013,64702,139465,active (excluding full-time students),In employment,Employee,NA,363
E06000013,16945,139465,active (excluding full-time students),In employment,Employee,Part,364
E06000013,47757,139465,active (excluding full-time students),In employment,Employee,Full,365
E06000013,1873,139465,active (excluding full-time students),In employment,Self-employed with employees,NA,366
E06000013,496,139465,active (excluding full-time students),In employment,Self-employed with employees,Part,367
E06000013,1377,139465,active (excluding full-time students),In employment,Self-employed with employees,Full,368
E06000013,7781,139465,active (excluding full-time students),In employment,Self-employed without employees,NA,369
E06000013,3336,139465,active (excluding full-time students),In employment,Self-employed without employees,Part,370
E06000013,4445,139465,active (excluding full-time students),In employment,Self-employed without employees,Full,371
E06000013,3631,139465,active (excluding full-time students),Unemployed,NA,NA,372
E06000013,2459,139465,active and a full-time student,NA,NA,NA,373
E06000013,1865,139465,active and a full-time student,In employment,NA,NA,374
E06000013,1786,139465,active and a full-time student,In employment,Employee,NA,375
E06000013,1362,139465,active and a full-time student,In employment,Employee,Part,376
E06000013,424,139465,active and a full-time student,In employment,Employee,Full,377
E06000013,12,139465,active and a full-time student,In employment,Self-employed with employees,NA,378
E06000013,9,139465,active and a full-time student,In employment,Self-employed with employees,Part,379
E06000013,3,139465,active and a full-time student,In employment,Self-employed with employees,Full,380
E06000013,67,139465,active and a full-time student,In employment,Self-employed without employees,NA,381
E06000013,52,139465,active and a full-time student,In employment,Self-employed without employees,Part,382
E06000013,15,139465,active and a full-time student,In employment,Self-employed without employees,Full,383
E06000013,594,139465,active and a full-time student,Unemployed,NA,NA,384
E06000013,59019,139465,inactive,NA,NA,NA,385
E06000013,37661,139465,inactive,Retired,NA,NA,386
E06000013,4697,139465,inactive,Student,NA,NA,387
E06000013,6365,139465,inactive,Looking after home or family,NA,NA,388
E06000013,6541,139465,inactive,Long-term sick or disabled,NA,NA,389
E06000013,3755,139465,inactive,Other,NA,NA,390
E06000014,93395,172082,active (excluding full-time students),NA,NA,NA,391
E06000014,90307,172082,active (excluding full-time students),In employment,NA,NA,392
E06000014,76803,172082,active (excluding full-time students),In employment,Employee,NA,393
E06000014,21649,172082,active (excluding full-time students),In employment,Employee,Part,394
E06000014,55154,172082,active (excluding full-time students),In employment,Employee,Full,395
E06000014,2120,172082,active (excluding full-time students),In employment,Self-employed with employees,NA,396
E06000014,477,172082,active (excluding full-time students),In employment,Self-employed with employees,Part,397
E06000014,1643,172082,active (excluding full-time students),In employment,Self-employed with employees,Full,398
E06000014,11384,172082,active (excluding full-time students),In employment,Self-employed without employees,NA,399
E06000014,5256,172082,active (excluding full-time students),In employment,Self-employed without employees,Part,400
E06000014,6128,172082,active (excluding full-time students),In employment,Self-employed without employees,Full,401
E06000014,3088,172082,active (excluding full-time students),Unemployed,NA,NA,402
E06000014,7837,172082,active and a full-time student,NA,NA,NA,403
E06000014,5890,172082,active and a full-time student,In employment,NA,NA,404
E06000014,5451,172082,active and a full-time student,In employment,Employee,NA,405
E06000014,4894,172082,active and a full-time student,In employment,Employee,Part,406
E06000014,557,172082,active and a full-time student,In employment,Employee,Full,407
E06000014,26,172082,active and a full-time student,In employment,Self-employed with employees,NA,408
E06000014,17,172082,active and a full-time student,In employment,Self-employed with employees,Part,409
E06000014,9,172082,active and a full-time student,In employment,Self-employed with employees,Full,410
E06000014,413,172082,active and a full-time student,In employment,Self-employed without employees,NA,411
E06000014,378,172082,active and a full-time student,In employment,Self-employed without employees,Part,412
E06000014,35,172082,active and a full-time student,In employment,Self-employed without employees,Full,413
E06000014,1947,172082,active and a full-time student,Unemployed,NA,NA,414
